UBIGEO,VIVIENDA,AguaAcceso,Electricidad
30603,230,1,1
30603,231,1,1
30202,49,1,1
30202,60,1,1
30202,72,1,1
30202,106,1,1
30202,139,1,1
30106,4,1,1
30106,29,1,1
30106,35,1,1
30106,43,1,1
30106,51,1,1
30106,72,1,1
30213,95,1,1
30213,96,1,1
30213,97,1,1
30213,98,1,1
30213,254,1,1
30213,257,1,1
30213,258,1,1
30213,259,1,1
30214,4,1,1
30214,10,1,1
30214,24,1,1
30214,27,1,1
30214,35,1,1
30214,41,1,1
30214,52,1,1
30214,58,1,1
30214,113,1,0
30214,117,1,1
30214,119,1,0
30214,120,1,0
30214,198,1,1
30214,199,1,1
30214,201,1,1
30214,203,1,0
30210,1,1,1
30210,2,1,1
30210,3,1,1
30210,68,1,1
30210,74,1,1
30409,108,1,1
30409,112,1,1
30409,113,1,1
30409,114,1,1
30409,269,1,1
30409,270,1,1
30409,271,1,1
30409,273,1,1
30218,23,1,1
30218,24,1,1
30218,84,1,0
30218,85,1,1
30218,86,1,1
30218,87,1,1
30706,2,1,1
30706,10,1,1
30706,25,1,1
30706,34,1,0
30706,39,1,1
30706,49,1,1
30706,61,1,1
30712,8,1,1
30712,9,1,1
30712,10,1,1
30712,11,1,1
30712,140,1,1
30712,141,1,1
30712,163,1,1
30711,3,1,1
30711,24,1,1
30711,33,1,1
30711,38,1,1
30711,48,1,1
30711,57,1,1
30711,72,1,1
30506,5,1,1
30506,6,1,1
30506,107,1,1
30506,108,1,1
30506,112,1,1
30506,113,1,1
30504,40,2,1
30504,41,2,1
30504,43,1,1
30504,44,1,1
30504,224,2,1
30504,225,1,1
30504,239,1,1
40104,20,1,1
40104,31,1,1
40104,44,1,1
40104,57,1,1
40104,107,1,1
40104,13,1,1
40104,29,1,1
40104,42,1,1
40104,69,1,1
40104,85,1,1
40104,98,1,1
40104,33,1,1
40104,98,1,1
40104,145,2,1
40104,25,1,1
40104,36,1,1
40104,45,1,1
40104,56,1,1
40104,67,1,1
40103,4,1,1
40103,29,1,1
40103,43,1,1
40103,93,1,1
40103,124,1,1
40102,12,1,1
40102,30,1,1
40102,44,1,1
40102,95,1,1
40102,143,1,1
40102,161,1,1
40102,1,1,1
40102,24,1,1
40102,40,1,1
40102,58,1,1
40102,74,1,1
40102,89,1,1
40102,9,1,1
40102,34,1,1
40102,47,1,1
40102,72,1,1
40102,85,1,1
40110,1,1,1
40110,14,1,1
40110,29,1,1
40110,43,1,1
40110,60,1,1
40110,73,1,1
40110,4,1,1
40110,34,1,1
40110,49,1,1
40110,79,1,1
40110,95,1,1
40110,111,1,1
40110,18,1,1
40110,35,1,1
40110,77,1,1
40110,114,1,1
40110,171,1,1
40112,11,1,1
40112,52,1,1
40112,65,1,1
40112,78,1,1
40112,117,1,1
40112,130,1,1
40129,48,1,1
40129,78,1,1
40129,140,1,1
40129,171,1,1
40129,202,1,1
40129,232,1,1
40129,26,1,1
40129,52,1,1
40129,64,1,1
40129,110,1,1
40122,5,1,1
40122,63,1,1
40122,83,1,1
40122,123,1,1
40122,162,1,1
40122,20,1,1
40122,32,1,1
40122,44,1,1
40122,70,1,1
40122,83,1,1
40122,119,1,1
40122,10,1,1
40122,60,1,1
40122,89,1,1
40122,109,1,1
40122,140,1,1
40122,5,1,1
40122,36,1,1
40122,51,1,1
40122,79,1,1
40122,95,1,1
40122,123,1,1
40107,3,1,1
40107,3,1,1
40107,34,1,1
40107,79,1,1
40107,123,1,1
40123,12,1,1
40123,55,1,1
40123,62,1,1
40123,86,1,1
40301,5,1,1
40301,35,1,1
40301,51,1,1
40301,79,1,1
40301,94,1,1
40301,122,1,1
40401,7,1,1
40401,20,1,1
40401,33,1,1
40401,61,1,1
40401,76,1,1
40401,13,1,1
40401,43,1,1
40401,57,1,1
40401,88,1,1
40401,103,1,1
40413,6,1,1
40413,18,1,1
40413,29,1,1
40413,65,1,1
40413,100,1,1
40128,5,1,1
40128,41,1,1
40128,60,1,1
40128,95,1,1
40128,114,1,1
40128,149,1,1
40128,30,1,1
40128,46,1,1
40128,75,1,1
40128,91,1,1
40128,107,1,1
40108,46,1,1
40108,92,1,1
40108,108,1,1
40108,120,1,1
40704,1,1,1
40704,15,1,1
40704,26,1,1
40704,54,1,1
40704,79,1,1
40702,4,1,1
40702,16,1,1
40702,41,1,1
40702,76,1,1
40702,97,1,1
40604,40,1,1
40604,136,1,1
40604,139,1,1
40608,95,1,1
40608,96,1,1
40608,98,1,1
40608,272,1,1
40608,273,1,1
40608,275,1,1
40608,281,1,1
40409,131,1,1
40409,343,1,0
40115,45,2,1
40115,47,1,1
40115,48,1,1
40108,46,1,1
40108,116,1,1
40108,120,1,1
40108,112,2,1
40108,113,1,1
40108,114,1,1
40108,115,1,1
40108,233,1,1
40108,238,1,1
40108,239,1,0
50115,27,1,1
50115,40,1,1
50115,82,1,1
50115,96,1,1
50115,146,1,1
50101,8,1,1
50101,35,1,1
50101,48,1,1
50101,128,1,1
50101,141,1,1
50101,7,1,1
50101,23,1,1
50101,68,1,1
50101,80,1,1
50101,97,1,1
50101,64,1,1
50101,81,1,1
50101,134,1,1
50101,151,1,1
50101,32,1,1
50101,48,1,1
50101,65,1,1
50101,97,1,1
50101,114,1,1
50101,6,1,1
50101,23,1,1
50101,35,1,1
50101,53,1,1
50101,62,1,1
50101,80,1,1
50101,35,1,1
50101,84,1,1
50101,94,1,1
50101,108,1,1
50101,119,1,1
50101,129,1,1
50116,69,1,1
50116,132,1,1
50116,174,1,1
50116,195,1,1
50116,33,1,1
50116,49,1,1
50116,82,1,1
50101,4,1,1
50101,43,1,0
50101,57,1,1
50101,69,1,0
50101,83,1,1
50104,26,1,1
50104,74,1,1
50104,96,2,1
50110,13,1,1
50110,71,1,1
50110,90,1,1
50110,108,1,1
50110,146,1,1
50401,7,1,1
50401,23,1,1
50401,64,1,1
50509,3,1,1
50509,16,1,1
50509,29,1,1
50509,42,1,1
50509,66,1,1
50509,79,1,1
51001,9,1,1
51001,24,1,1
51001,55,1,1
51001,69,1,1
51001,85,1,1
51001,100,1,1
50301,9,1,1
50301,22,1,1
50301,36,1,1
50301,89,1,1
50407,13,1,1
50407,14,1,1
50407,15,1,1
50407,16,1,1
50407,173,1,1
50407,175,1,1
50407,176,1,1
50404,8,1,1
50404,30,1,1
50404,41,1,1
50404,72,1,1
50404,91,1,1
50404,102,1,1
50404,122,1,1
50503,55,1,1
50503,148,1,1
50503,149,1,1
50503,151,1,1
50509,53,1,1
50509,54,1,1
50509,56,1,1
50509,138,1,1
50509,139,1,1
50509,143,1,1
50114,7,1,1
50114,8,1,1
50114,142,2,1
50114,143,2,1
50114,149,1,1
50114,150,1,1
50114,152,1,1
50114,153,2,1
50103,12,1,1
50103,14,1,1
50103,15,1,1
50103,125,1,1
50103,126,1,1
50103,131,1,1
50103,133,1,1
51105,31,1,1
51105,160,1,1
51105,161,1,1
51105,176,1,1
51105,177,1,0
51105,178,1,1
50602,64,1,1
50602,66,1,1
50602,67,1,1
50602,152,1,1
50602,160,1,1
50901,4,1,1
50901,40,1,1
50901,76,1,1
50901,99,1,1
50901,111,1,1
50908,18,1,1
50908,30,1,1
50908,54,1,1
50908,65,1,1
50908,79,1,1
50908,90,1,1
50701,100,1,1
50701,101,1,0
50701,102,1,1
50701,104,1,1
60108,7,1,1
60108,54,1,1
60108,66,1,1
60108,78,1,1
60108,100,1,1
60101,12,1,1
60101,30,1,1
60101,48,1,1
60101,66,1,1
60101,76,1,1
60101,85,1,1
60101,37,1,1
60101,106,1,1
60101,17,1,1
60101,40,1,1
60101,51,1,1
60101,73,1,1
60801,30,1,1
60801,42,1,1
60801,64,1,1
60801,76,1,1
60801,97,1,1
60801,15,1,1
60801,52,1,1
60801,71,1,1
60801,87,1,1
60801,161,1,1
60801,24,1,1
60801,40,1,1
